Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End,GPA
1,24,Other,2nd Year,7.7,7.9,3.4,2,37,10,14:09:36,04:03:00,7.41,7.06,3.364002616706013
2,21,Male,1st Year,6.3,6.0,1.9,5,74,2,08:43:48,07:06:00,8.21,10.21,3.2638015635954165
3,22,Male,4th Year,5.1,6.7,3.9,5,53,5,20:00:00,20:28:12,6.88,10.92,2.5791263840829792
4,24,Other,4th Year,6.3,8.6,2.8,4,55,9,19:49:12,04:04:48,6.69,9.42,4.023438403419796
5,20,Male,4th Year,4.7,2.7,2.7,0,85,3,20:58:48,06:07:12,8.98,9.01,2.9903711502164914
6,25,Other,1st Year,4.9,12.0,3.2,3,96,9,09:48:00,18:49:48,5.04,10.51,2.667284794715652
7,22,Female,2nd Year,6.5,11.7,3.4,1,99,6,13:03:00,20:57:36,8.58,10.81,2.5216360171826846
8,22,Male,2nd Year,6.1,7.8,3.0,1,108,4,10:29:24,10:51:00,5.6,10.02,3.1630844892000107
9,24,Female,1st Year,8.6,2.4,1.4,1,86,7,11:03:36,18:52:48,8.14,8.78,3.16524466335665
10,19,Other,2nd Year,5.8,8.2,2.0,3,44,8,14:39:00,05:18:36,7.47,9.37,2.439349704036903
11,20,Female,1st Year,6.9,0.9,3.8,5,108,6,07:46:12,14:49:48,6.37,9.8,2.8794009066555715
12,24,Female,2nd Year,7.2,0.4,1.7,0,33,5,06:04:12,03:44:24,8.5,7.78,3.5825713138914668
13,20,Other,3rd Year,4.1,3.1,2.1,3,8,6,21:41:24,10:41:24,5.05,8.79,2.730418194332548
14,20,Female,3rd Year,7.3,5.6,2.3,1,87,5,17:39:00,18:21:00,5.91,10.32,3.0717773720614296
15,25,Female,4th Year,4.9,10.4,2.3,4,7,8,07:01:12,19:12:36,7.27,9.62,2.250882521091773
16,22,Other,3rd Year,8.8,8.7,2.8,2,6,1,13:52:48,10:28:12,6.41,8.64,2.9532365471540882
17,21,Female,3rd Year,4.7,8.9,3.8,3,35,7,08:05:24,06:45:36,7.44,9.65,2.0613890574462577
18,25,Other,3rd Year,6.1,5.1,1.7,3,17,10,14:42:36,06:22:12,5.1,7.47,3.2884417330791265
19,25,Female,1st Year,4.4,4.2,1.4,0,2,10,13:47:24,16:28:48,5.47,8.61,2.26345421598665
20,20,Other,3rd Year,9.0,4.5,1.6,0,27,2,18:40:12,17:55:12,5.51,10.17,3.074364722488899
21,23,Other,3rd Year,6.5,11.9,3.7,3,69,9,16:34:47.999999,21:39:36,5.76,7.88,3.867633831281522
22,22,Female,4th Year,7.0,0.5,2.9,1,107,1,09:17:23.999999,08:25:12,6.84,7.74,2.9651947449340526
23,19,Female,3rd Year,4.3,10.4,1.9,2,43,10,12:54:00,20:28:12,8.01,10.8,2.2601314772656353
24,25,Female,3rd Year,7.7,6.9,3.4,0,20,6,05:44:24,13:34:47.999999,8.62,7.84,2.7874585572992814
25,21,Male,2nd Year,5.0,5.3,3.6,1,27,9,04:06:00,09:58:12,8.34,8.04,2.277826835584181
26,23,Male,4th Year,8.5,8.7,3.5,4,103,1,10:37:48,03:15:36,5.79,10.88,3.141900649254348
27,23,Male,4th Year,5.0,5.8,3.8,0,53,4,06:04:48,15:45:36,6.76,9.94,2.520696763657464
28,19,Other,4th Year,5.0,10.5,1.8,1,53,4,15:33:36,17:00:00,5.8,9.8,2.3102717445038596
29,25,Female,4th Year,4.2,10.8,3.3,1,64,9,13:17:23.999999,08:55:12,6.06,10.41,1.5436528482139713
30,21,Other,4th Year,6.4,5.1,2.4,2,99,5,07:01:48,09:37:12,7.01,7.46,3.157147568786576
31,22,Male,4th Year,6.8,3.3,3.5,2,20,5,13:53:24,15:21:36,5.27,9.82,3.862432198990036
32,18,Female,1st Year,4.3,7.1,3.2,4,106,6,09:38:24,03:26:24,5.87,9.01,2.372469242002211
33,21,Other,3rd Year,7.9,10.9,3.3,1,98,1,18:06:36,05:06:00,8.74,10.32,3.756717057759642
34,19,Female,4th Year,6.3,2.5,3.0,5,12,1,09:24:00,17:31:12,6.86,9.03,3.2231212533758486
35,23,Other,3rd Year,6.6,7.5,1.5,1,56,9,03:54:36,17:13:12,6.78,9.48,3.108393943422536
36,22,Female,3rd Year,6.2,7.6,2.6,2,48,3,03:45:36,11:45:00,5.06,8.91,3.7988800496087105
37,21,Male,1st Year,6.0,8.8,4.0,5,117,4,06:47:24,06:31:48,5.99,8.91,3.355513429916099
38,18,Male,4th Year,6.8,1.6,3.8,0,53,1,06:20:24,21:07:12,8.47,10.07,4.1486686547992715
39,18,Female,2nd Year,4.8,8.6,1.1,0,9,9,10:16:48,08:07:48,5.66,9.51,2.4727400797021506
40,20,Other,1st Year,4.9,10.9,1.5,3,52,8,09:43:12,09:02:24,6.66,9.53,2.4680437393500867
41,20,Male,2nd Year,8.3,2.2,1.4,2,43,2,19:11:24,17:22:12,5.06,8.8,3.0517696257540314
42,24,Male,3rd Year,8.7,2.9,3.2,3,46,8,12:40:48,08:22:12,6.91,9.12,2.922369725230178
43,19,Male,3rd Year,5.9,11.7,3.5,5,52,7,12:31:48,03:12:00,5.08,9.98,3.0311231959762135
44,25,Female,1st Year,5.4,2.2,1.6,2,73,6,01:52:12,21:03:36,8.28,10.3,2.7266881086622914
45,21,Female,1st Year,7.2,10.3,2.5,4,45,1,12:57:00,15:36:36,8.3,9.79,3.0988807745899725
46,21,Other,2nd Year,6.0,5.9,3.5,1,12,7,10:27:36,13:14:24,8.15,10.7,2.974313311342484
47,25,Other,4th Year,4.1,3.0,3.2,4,36,10,10:48:00,04:00:36,6.13,10.28,2.620129921042384
48,24,Other,2nd Year,4.8,10.4,2.6,5,101,7,08:37:48,02:45:00,8.35,9.25,2.3441971473291505
49,23,Female,1st Year,7.6,5.3,2.8,2,23,9,06:17:23.999999,13:07:12,7.17,9.69,2.3431717234927603
50,23,Female,2nd Year,7.3,6.2,2.5,5,1,1,17:16:12,07:00:00,6.5,10.71,3.3598786743935474
51,24,Other,1st Year,4.1,4.3,1.9,1,85,2,10:54:00,11:22:12,7.5,9.48,2.45991156404289
52,23,Other,2nd Year,5.1,7.1,2.7,0,80,9,04:39:36,11:14:24,5.05,10.3,2.100486617212767
53,20,Female,1st Year,5.2,2.0,3.1,0,99,9,12:16:12,16:26:24,5.57,9.76,2.065437326072219
54,21,Other,1st Year,7.4,4.7,3.6,5,13,6,16:09:00,17:39:36,7.97,9.21,2.9295170997338036
55,24,Male,1st Year,4.1,11.6,2.9,3,9,6,08:15:00,16:14:24,5.98,7.97,2.8724139317277233
56,21,Female,4th Year,4.5,3.1,3.3,2,34,4,04:42:00,10:52:12,7.39,8.7,2.628472887692512
57,25,Other,2nd Year,8.0,7.9,1.5,2,24,4,20:40:12,21:25:12,6.54,10.87,3.2941195251354443
58,18,Female,2nd Year,4.9,3.9,2.4,0,2,5,05:41:24,03:51:36,8.42,9.63,2.741885002495362
59,20,Male,2nd Year,7.3,9.3,1.0,4,110,3,04:45:00,18:52:12,8.81,9.26,3.628621981831863
60,22,Female,1st Year,5.2,1.6,1.7,1,101,1,12:18:36,17:36:00,8.53,10.73,2.657156783753628
61,20,Female,2nd Year,4.5,11.6,3.2,4,16,1,01:21:00,11:37:48,6.08,9.35,2.4956925132362358
62,24,Female,2nd Year,5.2,5.4,4.0,4,11,7,05:28:48,07:48:00,5.78,9.1,2.4663782957572185
63,22,Female,1st Year,7.6,2.8,1.3,5,53,1,05:45:00,20:05:24,6.9,10.04,3.446271201813672
64,18,Male,3rd Year,8.3,0.9,2.2,0,115,1,06:18:00,15:39:00,5.03,9.85,3.2005194517541566
65,24,Female,1st Year,8.2,2.0,3.4,0,23,3,18:50:24,02:37:48,5.1,7.77,3.293426367035504
66,19,Female,2nd Year,6.0,6.2,1.6,0,28,10,17:26:24,16:45:00,7.21,8.89,3.0440200854601462
67,21,Other,1st Year,7.3,4.0,2.7,5,42,4,12:15:36,15:44:24,7.08,8.89,3.441953422345765
68,18,Female,3rd Year,5.0,9.9,3.2,3,24,4,16:27:36,05:16:12,8.98,8.51,2.675134377456323
69,21,Other,1st Year,5.5,5.2,2.8,4,99,2,13:16:48,21:00:00,5.81,9.07,3.0465273367701293
70,23,Male,2nd Year,8.5,3.0,1.6,5,59,1,03:20:24,12:42:36,6.03,8.65,3.174324466414358
71,19,Male,3rd Year,4.1,7.4,2.1,2,89,3,04:41:24,14:24:36,5.45,7.8,2.1656335180104
72,19,Male,4th Year,4.4,8.5,3.4,1,101,4,08:46:12,15:40:12,8.67,8.65,2.2280168868878816
73,18,Male,2nd Year,5.0,2.0,2.7,3,64,3,03:58:48,16:17:23.999999,8.11,7.29,2.6067982007094064
74,19,Other,3rd Year,4.1,2.0,1.0,2,83,8,05:32:24,20:10:12,8.29,9.3,2.6092887652313808
75,22,Female,3rd Year,4.9,0.4,3.3,4,118,10,12:59:24,15:42:00,8.61,10.41,2.161260469480989
76,19,Male,4th Year,6.9,8.8,1.1,0,27,1,17:46:48,21:08:24,7.1,9.9,2.4899221191749494
77,21,Female,1st Year,6.1,8.0,3.2,4,15,2,11:12:00,06:22:48,6.8,8.44,3.174963263399847
78,21,Other,1st Year,8.5,5.7,1.6,5,46,7,06:32:24,14:02:24,6.32,7.35,2.992937280521579
79,24,Other,2nd Year,8.1,10.1,3.9,1,80,4,12:50:24,13:07:12,7.36,7.81,3.1216497908727723
80,21,Other,4th Year,5.7,9.7,2.1,5,103,8,08:00:00,04:07:48,6.82,9.18,2.4362866546448765
81,24,Male,1st Year,5.3,7.0,2.0,3,91,3,20:01:12,08:50:24,6.81,7.83,2.92698798861156
82,21,Female,4th Year,5.9,10.4,1.4,3,57,6,06:17:23.999999,21:50:24,8.75,9.18,2.2501960167810946
83,22,Female,1st Year,7.0,2.5,1.9,1,75,9,04:55:48,03:08:24,8.94,7.93,3.48902821900098
84,25,Female,3rd Year,5.3,1.3,3.6,2,26,1,07:09:36,17:15:36,8.19,10.4,2.2138920543089444
85,24,Other,1st Year,7.1,3.2,4.0,2,117,1,01:41:24,19:51:00,8.03,8.59,3.1364027310328293
86,20,Male,4th Year,6.0,0.7,2.1,3,52,8,04:38:24,06:38:24,7.72,7.98,2.8285526529896208
87,23,Other,3rd Year,6.8,6.4,2.3,3,41,3,03:02:24,11:59:24,5.66,10.25,3.270776630462079
88,18,Other,3rd Year,6.2,11.2,3.2,0,58,5,02:24:00,13:19:12,5.24,8.37,3.3356494680948554
89,21,Female,3rd Year,5.5,0.5,3.7,2,46,1,05:10:12,17:00:36,7.76,7.45,2.8216753329720397
90,19,Other,4th Year,8.7,1.5,2.8,1,93,5,07:50:24,11:03:00,7.92,9.28,3.3014414319199035
91,25,Female,2nd Year,7.8,5.4,2.2,2,104,6,21:52:48,16:30:36,5.19,9.33,3.3425703149823582
92,21,Male,2nd Year,4.7,11.2,2.2,0,33,8,12:13:12,03:58:12,8.71,9.86,2.6450925019979312
93,19,Female,2nd Year,8.3,3.8,3.1,5,36,3,10:00:36,17:42:00,5.36,7.96,3.2505376220924953
94,23,Male,4th Year,6.4,6.1,1.0,3,5,3,15:37:12,04:18:36,6.14,8.78,3.47749819155787
95,23,Female,3rd Year,8.5,0.5,2.9,3,6,10,15:19:12,10:48:36,7.69,8.13,3.0747220042024765
96,23,Other,2nd Year,8.0,1.8,2.1,0,95,9,01:49:12,05:25:48,5.68,7.32,3.1344540092704776
97,19,Other,4th Year,6.1,11.8,3.4,1,95,4,03:16:12,07:44:24,5.22,10.51,2.4379326526761838
98,21,Male,2nd Year,4.1,11.6,1.3,3,116,4,04:10:12,08:04:12,6.32,9.92,2.1372014305288625
99,23,Male,1st Year,5.3,0.1,2.8,4,24,7,13:28:12,15:30:36,8.06,8.21,2.2612362560410526
100,22,Male,2nd Year,6.7,11.4,2.4,3,32,2,21:42:36,17:19:12,6.65,9.4,3.6607407082975683
101,24,Female,2nd Year,7.2,7.7,2.9,4,54,8,20:19:12,17:46:48,7.61,7.81,3.2225014426320686
102,19,Female,3rd Year,5.3,10.4,1.2,0,57,6,15:26:24,04:51:36,7.32,10.56,1.696222502853798
103,19,Male,4th Year,4.7,5.5,2.7,0,6,3,21:40:12,05:35:24,5.09,7.46,2.527053450703446
104,21,Other,3rd Year,8.2,6.2,2.7,3,115,9,21:38:24,13:11:24,8.95,7.02,3.1952625778204453
105,19,Female,3rd Year,8.9,5.9,2.7,2,56,5,02:45:00,19:21:00,5.17,9.01,3.3685848295561858
106,19,Female,3rd Year,6.6,8.0,2.8,4,11,8,07:10:12,14:21:00,8.87,9.33,3.425041682617891
107,23,Female,3rd Year,4.9,1.7,3.0,1,15,7,15:30:36,09:36:36,7.2,9.32,2.5677923670986855
108,21,Male,3rd Year,5.4,0.4,3.4,3,79,8,19:12:36,12:54:36,8.85,7.22,2.1876215734882587
109,23,Male,2nd Year,4.1,3.7,1.8,1,42,7,11:15:36,06:24:00,5.46,8.26,2.503803601512181
110,24,Male,3rd Year,8.6,8.5,3.5,3,116,3,21:53:24,02:03:00,6.96,9.0,3.15994115094359
111,25,Male,3rd Year,4.6,2.4,2.5,2,99,2,02:17:23.999999,18:10:48,5.68,7.87,2.1150269739703615
112,24,Male,4th Year,6.9,8.1,1.2,2,76,7,13:17:23.999999,12:48:36,5.2,10.49,3.4140475053784685
113,25,Other,1st Year,5.4,11.6,1.2,2,6,3,13:33:00,13:22:48,7.47,7.35,3.048276362746059
114,23,Other,2nd Year,6.8,1.1,2.0,5,99,3,13:48:00,15:54:36,5.83,8.95,3.2304344094614796
115,24,Male,2nd Year,7.3,8.1,3.4,2,110,2,20:32:24,18:02:24,7.35,9.77,3.181255883520676
116,21,Female,2nd Year,8.1,5.3,3.1,0,50,4,08:36:00,20:41:24,5.45,8.05,2.8851226163902424
117,18,Male,3rd Year,5.0,10.4,3.4,0,72,8,06:36:36,04:15:36,6.33,9.5,2.6413332683838364
118,23,Other,3rd Year,4.1,2.1,2.6,5,31,1,07:48:00,13:36:00,8.13,10.32,2.2780988523325667
119,25,Other,3rd Year,4.7,8.3,2.3,4,74,1,19:05:24,12:03:36,6.75,7.76,2.116855921063522
120,22,Female,4th Year,8.5,10.1,1.4,1,7,5,09:50:24,03:39:36,7.51,10.67,3.3524493597830163
121,25,Other,1st Year,8.4,11.3,2.0,3,96,5,10:02:24,06:28:12,7.59,9.21,3.181675378116747
122,22,Male,3rd Year,7.0,8.2,2.3,3,86,1,03:45:36,19:23:24,8.38,8.2,3.1400623959161944
123,19,Female,1st Year,7.0,6.0,1.3,5,88,6,14:02:24,10:41:24,6.3,8.72,3.2805128726680968
124,24,Male,4th Year,7.3,7.4,1.7,0,119,1,14:12:00,13:09:00,7.75,8.25,3.793840450504142
125,22,Male,2nd Year,4.9,10.4,2.8,3,71,5,09:00:36,06:03:36,8.85,9.9,3.991966751327026
126,25,Female,3rd Year,8.6,6.8,3.2,0,44,9,08:42:36,07:31:12,7.92,10.19,3.3421845893299773
127,19,Male,1st Year,6.1,0.4,4.0,4,85,5,12:09:00,08:11:24,6.96,10.33,3.9822698075584464
128,18,Other,1st Year,5.9,11.2,3.8,1,58,6,12:42:00,15:11:24,7.52,10.94,2.836580138546731
129,21,Male,3rd Year,6.6,8.3,2.9,4,3,8,11:37:12,05:54:00,7.96,10.17,3.005319688768538
130,21,Female,2nd Year,4.2,8.1,2.3,5,103,1,03:55:12,20:57:00,7.45,9.41,2.3702039890782762
131,21,Female,2nd Year,4.8,2.6,2.9,2,66,2,12:19:12,18:48:36,5.07,8.36,2.3475609953297942
132,22,Female,2nd Year,7.7,7.9,3.4,2,28,9,02:15:36,15:17:23.999999,5.78,9.18,3.318971134631513
133,18,Male,4th Year,4.4,4.7,1.4,2,104,3,11:25:12,20:27:36,8.24,7.16,3.0910706016039784
134,22,Female,1st Year,7.0,7.8,2.2,4,28,6,02:04:12,17:18:00,6.09,9.98,3.1581362968663824
135,24,Female,1st Year,5.2,1.3,3.5,3,97,5,04:30:36,05:24:00,7.93,8.78,1.7321483013924848
136,22,Male,1st Year,5.9,7.9,2.2,1,97,2,14:23:24,03:01:48,6.49,7.08,3.0597326152473876
137,18,Other,4th Year,5.4,12.0,2.7,2,27,7,03:51:36,15:54:36,7.09,7.25,2.1769728869452476
138,18,Male,1st Year,5.8,0.6,2.8,5,76,4,19:41:24,16:42:36,5.27,8.55,2.1314916336553034
139,24,Female,4th Year,7.6,11.7,1.6,5,78,1,02:34:11.999999,16:24:00,5.72,9.33,3.6217083735176785
140,18,Female,2nd Year,5.5,4.9,2.1,2,86,4,08:44:24,16:27:00,8.83,8.86,3.1470798416527392
141,25,Male,3rd Year,6.8,10.4,2.0,2,43,6,20:51:36,21:16:48,8.56,9.48,4.016434578330291
142,18,Other,1st Year,6.4,9.4,1.1,1,89,7,08:28:12,03:27:36,7.61,8.92,2.742670690035125
143,21,Female,1st Year,7.3,6.8,1.1,2,3,7,01:32:24,17:43:48,6.84,9.65,2.6794571316932037
144,25,Female,2nd Year,8.7,8.9,3.5,1,89,7,20:31:48,13:36:00,7.7,7.88,3.042570761871
145,25,Female,3rd Year,7.7,10.5,1.8,5,103,3,10:21:00,21:48:36,7.47,7.45,3.6305743053300903
146,24,Male,4th Year,5.1,4.8,2.6,2,8,6,06:18:00,04:50:24,7.27,9.39,2.317435283508192
147,20,Female,3rd Year,4.2,3.9,1.9,4,118,8,04:58:48,07:22:48,5.24,8.94,2.7906402841543745
148,20,Other,2nd Year,5.3,8.0,3.8,4,4,4,13:18:36,03:03:36,7.53,7.11,1.9662946143227393
149,18,Female,2nd Year,7.0,9.7,1.8,5,55,8,17:42:36,06:22:12,8.08,8.52,3.8182127684152483
150,25,Female,3rd Year,4.3,9.1,2.3,1,95,2,21:06:36,15:43:48,8.98,7.42,2.9268045140410783
151,20,Other,4th Year,6.5,9.6,3.6,4,83,10,09:49:48,17:02:24,5.04,9.13,3.5550333324687236
152,20,Female,4th Year,7.0,5.2,3.5,1,49,9,12:29:24,08:03:00,7.92,8.58,3.476320374746726
153,18,Male,1st Year,5.7,9.8,1.6,4,74,9,02:04:48,14:43:12,7.29,9.45,1.56593686731104
154,20,Male,4th Year,7.9,1.4,3.4,4,14,8,20:43:48,10:40:48,6.74,10.22,2.8014544307098688
155,22,Male,3rd Year,4.5,6.5,2.4,1,31,10,07:36:36,21:52:12,5.51,8.2,2.9415599844183347
156,19,Other,2nd Year,4.4,0.1,2.4,3,27,10,21:28:48,20:45:36,6.64,10.85,3.017742453378389
157,24,Female,1st Year,7.6,3.9,1.4,4,21,1,18:24:00,11:17:23.999999,6.42,9.14,3.585629237553263
158,19,Male,1st Year,6.5,4.4,1.2,2,104,2,12:28:12,10:40:48,6.21,9.47,4.046071392625919
159,18,Other,2nd Year,7.4,4.8,3.2,5,16,6,12:27:00,06:58:12,7.92,9.72,2.644230396315404
160,21,Female,4th Year,6.2,8.3,2.5,3,58,10,07:36:00,19:21:36,7.8,9.67,3.388442656607959
161,24,Other,2nd Year,5.2,4.7,2.3,1,89,5,02:53:24,11:44:24,7.36,9.04,3.0574160524275062
162,18,Male,4th Year,8.1,5.4,3.2,3,107,9,08:34:47.999999,18:06:36,8.75,8.72,2.8589667079325394
163,25,Male,2nd Year,8.0,2.9,3.3,0,70,5,01:58:48,20:08:24,6.4,7.22,2.8979029988877976
164,21,Male,3rd Year,7.5,4.5,1.5,0,105,2,03:29:24,13:47:24,5.98,7.09,3.1337517464849376
165,19,Other,4th Year,5.4,2.7,2.8,4,56,10,09:43:48,18:43:48,7.62,8.43,2.098450814620073
